Prior\Agent,OLETS,MCTS,RHEA,RS,GTS,OSLA,Random
OLETS,0.8575721153846154,0.8782552083333334,0.7980840773809524,0.8172450921474359,0.49305555555555564,0.012083333333333335,0.04395833333333333
MCTS,0.26125665275347015,0.87890625,0.7677951388888891,0.6914960488505746,0.4214085820895522,0.10929709757834759,0.02791666666666667
RHEA,0.09712438619740298,0.5153125,0.8879024621212122,0.8964843749999998,0.5181884765625,0.16935558431952663,0.07251068376068376
RS,0.2570124246987951,0.6046874999999999,0.9037642045454546,0.8145833333333334,0.4723395270270269,0.18746744791666664,0.05208333333333334
GTS,0.0738671875,0.246135752688172,0.4416813380281689,0.3088596393764079,0.9193892045454546,0.08847470238095238,0.42232572115384615
OSLA,0.06332031249999998,0.29564732142857136,0.4423656798245614,0.3411907327586206,0.5021327227011494,0.8912760416666665,0.14022135416666665
Random,0.0,0.00181640625,0.02529296874999999,0.018925781249999992,0.16679116108368658,0.30357142857142855,0.8364383012820512
doNothing,0.18690104166666666,0.2593397556390977,0.17129866803278676,0.19304865056818182,0.49267578124999983,0.05452019320297952,0.4697452229299363
Baseline (noise),0.027421874999999995,0.19687499999999997,0.48377403846153844,0.45356376470158516,0.9290364583333333,0.02310546875,0.4458333333333333
