Prior\Agent,OLETS,MCTS,RHEA,RS,GTS,OSLA,Random
OLETS,1.3,1.2,1.4,1.6,8.4,20.0,20.0
MCTS,14.2,1.2,2.1,2.9,6.7,11.7,20.0
RHEA,20.0,2.5,1.1,1.0,3.2,16.9,20.0
RS,8.3,2.0,1.1,1.5,3.7,12.0,20.0
GTS,20.0,12.4,7.1,10.0,1.1,17.5,2.6
OSLA,20.0,10.5,3.8,5.8,5.8,1.2,20.0
Random,20.0,20.0,20.0,20.0,18.1,3.5,1.3
doNothing,20.0,13.3,18.3,17.6,2.4,17.9,15.7
Baseline (noise),20.0,17.0,3.9,4.5,1.0,20.0,2.0
