doNothing_prior,0,2.2,4.4,3.6,2.0,3.0,2.0,2.6
sampleRHEA_prior,20.0,0,11.3,4.6,4.5,2.5,19.0,1.5
sampleonesteplookahead_prior,20.0,4.0,0,2.7,4.1,4.6,11.8,5.9
olets_prior,20.0,1.5,20.0,0,3.9,1.5,10.6,1.7
greedyTreeSearch_prior,20.0,8.1,15.4,10.3,0,12.1,10.7,2.3
sampleMCTS_prior,20.0,1.9,10.4,13.6,11.5,0,20.0,3.2
sampleRandom_prior,20.0,20.0,4.0,19.6,12.7,9.5,0,20.0
sampleRS_prior,20.0,1.4,9.3,3.0,4.2,2.2,20.0,0
