Prior\Agent,OLETS,MCTS,RHEA,RS,GTS,OSLA,Random
OLETS,0.20999999999999994,0.16000000000000003,0.24000000000000005,0.24000000000000005,23.84,0.0,0.0
MCTS,16.56,0.16000000000000003,2.0900000000000003,2.4899999999999998,52.61000000000001,11.209999999999997,0.0
RHEA,0.0,0.25,0.09,0.0,12.960000000000004,29.890000000000004,0.0
RS,53.01000000000001,0.0,0.09,0.25,0.81,15.6,0.0
GTS,0.0,8.24,5.290000000000001,25.2,0.09,14.849999999999998,23.040000000000006
OSLA,0.0,36.25,3.3600000000000008,1.3600000000000003,8.760000000000002,0.3600000000000001,0.0
Random,0.0,0.0,0.0,0.0,11.290000000000001,1.0500000000000003,0.41000000000000003
doNothing,0.0,45.81,26.010000000000005,14.24,0.24000000000000005,17.69,29.610000000000007
Baseline (noise),0.0,14.0,16.689999999999998,16.85,0.0,0.0,0.0
