,sampleRHEA,sampleonesteplookahead,olets,greedyTreeSearch,sampleMCTS,baselineRandomPrior,sampleRandom,sampleRS
sampleRHEA_prior,0.3,5.4671747731346585,0.0,3.6000000000000005,0.5,,0.0,0.0
sampleonesteplookahead_prior,1.8330302779823362,0.6000000000000001,0.0,2.9597297173897488,6.020797289396148,,0.0,1.1661903789690602
olets_prior,0.48989794855663565,0.0,0.45825756949558394,4.882622246293481,0.4,,0.0,0.48989794855663565
greedyTreeSearch_prior,2.3000000000000003,3.8535697735995385,0.0,0.3,2.870540018881465,,4.800000000000001,5.019960159204453
sampleMCTS_prior,1.445683229480096,3.348133808556641,4.069397989875161,7.253275122315436,0.4,,0.0,1.57797338380595
baselineRandomPrior_prior,4.085339643163099,0.0,0.0,0.0,3.7416573867739413,,0.0,4.104875150354759
sampleRandom_prior,0.0,1.02469507659596,0.0,3.3600595232822887,0.0,,0.6403124237432849,0.0
sampleRS_prior,0.3,3.9496835316262997,7.280796659706959,0.9,0.0,,0.0,0.5
