Prior\Agent,OLETS,MCTS,RHEA,RS,GTS,OSLA,Random
OLETS,0.013675667125092422,0.01749886406792531,0.010285505091522271,0.023174325860228513,0.044718639770723115,0.0006699652777777779,0.0041527343750000015
MCTS,0.05083350111910462,0.01142883300781245,0.01828218221243931,0.030082139176348412,0.0595142219754771,0.06358994676778824,0.004550520833333334
RHEA,0.01636765333798322,0.16704702148437497,0.00765234576769112,0.006074778238932285,0.11211644113063812,0.07215615782551428,0.01616761530699832
RS,0.08467699865727965,0.10854125976562505,0.009658182948088814,0.026029188368055515,0.09464192024715799,0.09987325209158436,0.0062282986111111115
GTS,0.01717288055419923,0.07503495672311734,0.07457263525032237,0.06638381540407468,0.0038734064723944233,0.04458056773490648,0.14930854762251014
OSLA,0.01637216033935546,0.08699931242028063,0.11740787655216033,0.10167118031686612,0.0827760483475528,0.01210516470449943,0.038154761250813796
Random,0.0,0.00021665611267089846,0.004787893295288081,0.0051516872406005805,0.053475351363549084,0.1533304988662132,0.02033684584437664
doNothing,0.03946527845594618,0.07822339844357286,0.022275748864132576,0.05348681418363713,0.18174529075622547,0.0127408903863599,0.030666389441086187
Baseline (noise),0.0040023742675781215,0.057581715303308814,0.10592145750508505,0.10210743152104773,0.004810333251953119,0.004782511350843641,0.18352430555555552
